mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11859,0.3911036252975464,0.4190306067466736
CD,96,42,11860,0.40188291668891907,0.42668765783309937
CD,96,42,11861,0.36506861448287964,0.41185262799263
CD,96,42,11862,0.3461907207965851,0.4047381281852722
CD,96,42,11863,0.36609962582588196,0.4055992364883423
CD,96,42,11864,0.37279924750328064,0.4162535071372986
CD,96,42,11865,0.35095247626304626,0.4040619134902954
CD,96,42,11866,0.37701737880706787,0.42906007170677185
CD,96,42,11867,0.37349942326545715,0.43161070346832275
CD,96,42,11868,0.3888186514377594,0.43998274207115173
CD,96,42,11869,0.37931007146835327,0.4343358874320984
CD,96,42,11870,0.35360395908355713,0.4215124249458313
CD,96,42,11871,0.3718847632408142,0.42092931270599365
CD,96,42,11872,0.36829203367233276,0.4235215187072754
CD,96,42,11873,0.3480161130428314,0.4091441333293915
CD,96,42,11874,0.3749101758003235,0.42329397797584534
CD,96,42,11875,0.38511916995048523,0.42993879318237305
CD,96,42,11876,0.4051152169704437,0.44007810950279236
CD,96,42,11877,0.38710448145866394,0.43126535415649414
CD,96,42,11878,0.3647501766681671,0.4217537045478821
CD,96,42,11879,0.36332035064697266,0.4109571576118469
CD,96,42,11880,0.3613680899143219,0.4121546149253845
CD,96,42,11881,0.3327794671058655,0.39427849650382996
CD,96,42,11882,0.33699825406074524,0.40386831760406494
CD,96,42,11883,0.3288598954677582,0.39836621284484863
CD,96,42,11884,0.3450205326080322,0.40672385692596436
CD,96,42,11885,0.3300297260284424,0.3965950906276703
CD,96,42,11886,0.3323546051979065,0.4008697271347046
CD,96,42,11887,0.32747024297714233,0.39239129424095154
CD,96,42,11888,0.32298344373703003,0.39369991421699524
CD,96,42,11889,0.2978706359863281,0.37580135464668274
CD,96,42,11890,0.3125380277633667,0.3914528489112854
CD,96,42,11891,0.32963889837265015,0.4009154736995697
CD,96,42,11892,0.3306080102920532,0.4016960859298706
CD,96,42,11893,0.32220640778541565,0.39872968196868896
CD,96,42,11894,0.314102441072464,0.3886171281337738
CD,96,42,11895,0.31629398465156555,0.38097476959228516
CD,96,42,11896,0.3087638020515442,0.3786616921424866
CD,96,42,11897,0.28883713483810425,0.36814576387405396
CD,96,42,11898,0.2970740497112274,0.36958780884742737
CD,96,42,11899,0.30814510583877563,0.37696361541748047
CD,96,42,11900,0.3081674873828888,0.3786136507987976
CD,96,42,11901,0.30789074301719666,0.38314875960350037
CD,96,42,11902,0.3003743588924408,0.3762005567550659
CD,96,42,11903,0.3030560612678528,0.37457096576690674
CD,96,42,11904,0.301113098859787,0.37263795733451843
CD,96,42,11905,0.2879495620727539,0.3676919937133789
CD,96,42,11906,0.2856341600418091,0.3717051148414612
CD,96,42,11907,0.2698991894721985,0.36744630336761475
CD,96,42,11908,0.24888098239898682,0.36560896039009094
CD,96,42,11909,0.2382301241159439,0.3559427559375763
CD,96,42,11910,0.2262992411851883,0.3430178165435791
CD,96,42,11911,0.2239411324262619,0.3436700403690338
CD,96,42,11912,0.22780191898345947,0.3402842879295349
CD,96,42,11913,0.2191050946712494,0.3416237533092499
CD,96,42,11914,0.23088675737380981,0.3562619686126709
CD,96,42,11915,0.23605115711688995,0.35788819193840027
CD,96,42,11916,0.23777076601982117,0.36788198351860046
CD,96,42,11917,0.23206257820129395,0.3612487018108368
CD,96,42,11918,0.2256324291229248,0.3499910533428192
CD,96,42,11919,0.22249817848205566,0.3491632044315338
CD,96,42,11920,0.2291380614042282,0.34357598423957825
CD,96,42,11921,0.22720518708229065,0.35002240538597107
CD,96,42,11922,0.23224495351314545,0.35569465160369873
CD,96,42,11923,0.2372303009033203,0.3571482300758362
CD,96,42,11924,0.23547649383544922,0.35491594672203064
